group,path,object_id,git_mode,decision,reviewer,evidence_or_action
artwork,apps/dashboard/public/favicon.svg,6893eb13237060adc0c968a690149a49faa2d7d3,100644,pending,,
artwork,apps/dashboard/public/icons.svg,e9522193d9f796a9748e9ad8c952a5df73c87db9,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/128x128.png,77e7d2338e9d8ccffc731198dc584906627c903f,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/128x128@2x.png,0f7976f1a004b8a7a3a4096a185fd938e24b9433,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/32x32.png,98fda06fcb02164a98ac0fbc749242bd92eecce8,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square107x107Logo.png,f35d84ff1334899c2164bd05beaaae18a76a1f8f,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square142x142Logo.png,1823bb2696be684ae88c7243e5b4ec229463f2fa,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square150x150Logo.png,dc2b22cea563cca761896877ed8d72502c8fa241,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square284x284Logo.png,0ed3984c5fb4ac435d78f2cf3c0125cbc146a5c3,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square30x30Logo.png,60bf0eadf75c86e5d25cc1da13fe5ecc2c39c559,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square310x310Logo.png,c8ca0ad132e0184b64cd2e4a38cfceab3c4b3a46,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square44x44Logo.png,8756459b63d6e8dd6003b97613befbe2743441cb,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square71x71Logo.png,2c8023cc824417a29378a68471b8fb3af33fdeb0,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/Square89x89Logo.png,2c5e6034ff53951fc10d1ebcddff39e1dbd2b3de,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/StoreLogo.png,17d142c0a43208db62ca28b86a3239329ac93aea,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/icon.ico,06c23c82fea615c9394c4c7f487392e3f0a2fd4a,100644,pending,,
artwork,apps/dashboard/src-tauri/icons/icon.png,d1756ce45d624f63b1db660ee6276645cdc52ccf,100644,pending,,
artwork,crates/cli/assets/dashboard/dist/favicon.svg,6893eb13237060adc0c968a690149a49faa2d7d3,100644,pending,,
artwork,crates/cli/assets/dashboard/dist/icons.svg,e9522193d9f796a9748e9ad8c952a5df73c87db9,100644,pending,,
embedded-dashboard,crates/cli/assets/dashboard/dist/assets/index-Czo1A3Pd.js,3a3c7bcd7fd7e64237a941f378ddf24b73dca5f9,100644,pending,,
embedded-dashboard,crates/cli/assets/dashboard/dist/assets/index-jkpRgUio.css,166f81e0f6b83ce7512b3ab37ec69b18a38ee639,100644,pending,,
embedded-dashboard,crates/cli/assets/dashboard/dist/index.html,2e8571d07ff68125d6334e8b1694e852b6f28e05,100644,pending,,
fixtures,crates/engine/tests/fixtures/codex_exec_gpt_5_6_sol_probe.jsonl,77227f64cc25105b0e24d83f87d77e209edf369c,100644,pending,,
fixtures,crates/engine/tests/fixtures/codex_exec_scrutiny.jsonl,44fd4c1bdb7859cfd2f16debcade877d68d6ee19,100644,pending,,
fixtures,crates/engine/tests/fixtures/codex_exec_scrutiny_no_report.jsonl,5e508051d2bdfa966f491e8605fc3ec0060757de,100644,pending,,
fixtures,crates/engine/tests/fixtures/droid_exec_scrutiny.json,b7deb1af858a9260179003f6f6ec6836f9e5dda1,100644,pending,,
fixtures,crates/engine/tests/fixtures/droid_exec_scrutiny_no_report.json,0dc793730a694899e4ea351848cb8c767f3582fd,100644,pending,,
fixtures,crates/engine/tests/fixtures/gate-results-ladder.events.jsonl,2e10d649c0f409ca63659964e1d82b65607d746e,100644,pending,,
fixtures,crates/engine/tests/fixtures/kimi_exec_scrutiny.jsonl,422066f9e84317c97ea26b46647434419235eeb9,100644,pending,,
fixtures,crates/engine/tests/fixtures/legacy-json-floats.json,892b733e2916c1f39c28866190e1c71316089907,100644,pending,,
fixtures,crates/engine/tests/fixtures/m-2d5583-plan.json,8368df83331f6949b14dbc3be3368362056668dd,100644,pending,,
fixtures,crates/engine/tests/fixtures/m-2d5583-plan.md,d14b783bff55f036c6c8a27535097bcb58108efd,100644,pending,,
fixtures,crates/engine/tests/fixtures/m-3cda6a-plan.json,16177da8e9e4ad11c25945c20c3590dda86b0b09,100644,pending,,
fixtures,crates/engine/tests/fixtures/m-3cda6a-plan.md,06bf5a22c599b1784980af754b3247764a8f782f,100644,pending,,
fixtures,crates/engine/tests/fixtures/m-d341a7-plan.json,d6dade30dee983f43a9866668b683de11504f667,100644,pending,,
fixtures,crates/engine/tests/fixtures/pack-contract-synthetic/pack.toml,e860fcad8cdd01976c0bc0d1e5df5f6b09ce255a,100644,pending,,
fixtures,crates/engine/tests/fixtures/pack-contract-synthetic/prompts/worker.md,950afc1cbe4433c5cc2b80362198ba3ced402421,100644,pending,,
fixtures,crates/engine/tests/fixtures/stream_json_single_shot.jsonl,5d7fd41abf7ab337e5e292d83ed3992c9fb26c18,100644,pending,,
fixtures,crates/slack/tests/fixtures/app_home_opened.json,0964bf93c8403b3e79319163ccf40c7b39d8dc97,100644,pending,,
fixtures,crates/slack/tests/fixtures/block_actions_approve.json,81835234716f951fdc158f27011115b90acd53f1,100644,pending,,
fixtures,crates/slack/tests/fixtures/block_actions_merge.json,cbf95e5694ffe8bee4ca010128be573a6437fc98,100644,pending,,
fixtures,crates/slack/tests/fixtures/message_bot_echo.json,8b77c5efd359c07a8228e17993db32c9dfa48eff,100644,pending,,
fixtures,crates/slack/tests/fixtures/message_thread_reply.json,bae71d51c5357163bc63c10a9cfd63bae83804cf,100644,pending,,
fixtures,crates/slack/tests/fixtures/slash_command_approve.json,2c173b47d91649bb071147aec7e0086b09a9211c,100644,pending,,
fixtures,crates/slack/tests/fixtures/slash_command_config.json,ba2894198160980a8ede6f9a292c381fe778ec11,100644,pending,,
fixtures,crates/slack/tests/fixtures/slash_command_new.json,67a231b7b18494c57d48097ea31c4772a74b9f3d,100644,pending,,
fixtures,crates/slack/tests/fixtures/slash_command_ticket.json,d3efac93cbc33fb1a0f9704d838c2c0af841716c,100644,pending,,
knowledge,docs/knowledge/CONVENTIONS.md,09e5398c1d46f80499b8f06389f9b4de023e60c7,100644,pending,,
knowledge,docs/knowledge/architecture/mission-pipeline.md,03d3df397af340b9d184ecbda87fde03e2ed20b6,100644,pending,,
knowledge,docs/knowledge/decisions/inviolable-invariants.md,07762c62b072818ce2a3292cd7728805de020192,100644,pending,,
knowledge,docs/knowledge/decisions/positioning-governance-evidence-layer.md,9a1992127e6eaf0a92f4d2b421163bdc98850316,100644,pending,,
knowledge,docs/knowledge/decisions/skill-capture-boundary.md,5ec0c84b063b001b76d5a70ef2e521c6dd93b363,100644,pending,,
knowledge,docs/knowledge/glossary.md,20fe689d9c9de79e012e374f3529497bd3afbd7c,100644,pending,,
knowledge,docs/knowledge/index.md,7241a06b3d8376808fc12904308ae84288cca8f2,100644,pending,,
knowledge,docs/knowledge/lessons.md,b2eb6c2b23aa9860441072b3412fcfec3cbb43cc,100644,pending,,
